ms,current,servoWrite,wanted
4,72,0,72
52,72,0,71
93,72,0,71
134,72,0,71
175,72,0,70
216,71,0,70
263,70,67,70
310,70,69,69
357,69,67,69
404,69,69,69
451,69,67,68
498,69,65,68
545,69,62,67
592,70,61,67
639,70,54,67
686,70,51,66
733,70,49,66
780,70,47,66
827,70,44,65
874,70,42,65
921,69,39,64
968,69,43,64
1015,68,41,64
1063,68,43,63
1111,67,41,63
1159,67,44,63
1207,67,41,62
1255,66,39,62
1303,66,41,61
1351,66,39,61
1399,66,37,61
1447,65,34,60
1495,65,37,60
1543,65,36,60
1591,65,33,59
1639,64,31,59
1687,64,33,58
1735,64,31,58
1783,64,29,58
1831,64,26,57
1879,64,24,57
1927,63,21,56
1975,63,24,56
2023,63,22,56
2071,63,19,55
2119,63,17,55
2167,63,16,55
2215,62,13,54
2263,62,16,54
2311,62,13,53
2359,62,11,53
2407,62,9,53
2455,62,6,52
2503,61,4,52
2551,61,6,51
2599,61,4,51
2647,61,2,51
2695,60,0,50
2743,60,3,50
2791,60,1,50
2839,60,0,49
2887,60,0,49
2935,59,0,48
2983,59,0,48
3031,58,0,48
3079,58,0,47
3127,57,0,47
3175,56,0,46
3223,55,0,46
3271,53,2,46
3319,52,10,45
3367,50,13,45
3415,48,21,45
3463,47,28,44
3511,46,31,44
3559,46,33,43
3607,46,31,43
3655,46,29,43
3703,46,26,42
3751,46,24,42
3799,46,21,41
3847,46,19,41
3895,46,17,41
3943,46,15,40
3991,45,13,40
4039,44,16,40
4087,43,18,39
4135,42,21,39
4183,42,23,38
4231,42,21,38
4279,42,19,38
4327,42,16,37
4375,42,14,37
4423,42,11,36
4471,41,9,36
4519,40,13,36
4567,40,15,35
4615,40,13,35
4663,40,11,35
4711,39,8,34
4759,39,11,34
4807,39,8,33
4855,38,6,33
4903,38,9,33
4951,38,6,32
4999,38,4,32
5047,38,1,31
5095,37,0,31
5143,37,3,31
5191,37,0,30
5239,37,0,30
5287,37,0,30
5335,36,0,29
5383,36,0,29
5431,36,0,28
5479,36,0,28
5527,36,0,28
5575,36,0,27
5623,36,0,27
5671,36,0,26
5719,36,0,26
5767,36,0,26
5815,36,0,25
5863,35,0,25
5911,35,0,25
5959,35,0,24
6007,35,0,24
6055,35,0,23
6103,35,0,23
6151,35,0,23
6199,35,0,22
6247,35,0,22
6295,35,0,21
6343,35,0,21
6391,35,0,21
6439,35,0,20
6487,35,0,20
6535,35,0,20
6583,35,0,20
6631,35,0,20
6679,35,0,20
6727,35,0,20
6775,34,0,20
6823,34,0,20
6871,34,0,20
6919,34,0,20
6967,34,0,20
7015,34,0,20
7063,34,0,20
7111,34,0,20
7159,34,0,20
7207,34,0,20
7255,34,0,20
7303,34,0,20
7351,34,0,20
7399,34,0,20
7447,34,0,20
7495,34,0,20
7543,34,0,20
7591,34,0,20
7639,34,0,20
7687,34,0,20
7735,34,0,20
7783,34,0,20
7831,34,0,20
7879,34,0,20
7927,34,0,20
7975,34,0,20
8023,34,0,20
8071,34,0,20
8119,34,0,20
8167,34,0,20
8215,34,0,20
8263,34,0,20
8311,34,0,20
8359,34,0,20
8407,34,0,20
8455,34,0,20
8503,34,0,20
8551,34,0,20
8599,34,0,20
8647,34,0,20
8695,34,0,20
8743,34,0,20
8791,34,0,20
8839,34,0,20
8887,34,0,20
8935,34,0,20
8983,34,0,20
9031,34,0,20
9079,34,0,20
9127,34,0,20
9175,34,0,20
9223,34,0,20
9271,34,0,20
9319,34,0,20
9367,34,0,20
9415,34,0,20
9463,34,0,20
9511,34,0,20
9559,34,0,20
