ms,current,servoWrite,wanted
4,32,148,32
52,32,147,31
93,32,147,31
134,32,147,31
175,32,147,31
216,32,147,31
257,32,148,32
304,33,28,32
351,33,30,32
398,33,30,32
445,33,29,32
492,33,33,33
539,33,28,32
586,33,32,33
633,33,32,33
680,33,32,33
727,33,35,34
774,33,39,35
821,33,35,34
868,33,40,35
915,33,44,36
962,33,45,36
1009,33,50,37
1056,33,55,38
1103,33,56,38
1150,33,62,39
1197,33,68,40
1244,33,70,40
1291,34,77,41
1338,34,81,42
1385,35,84,42
1432,35,88,43
1479,36,95,44
1526,37,99,45
1573,39,104,46
1621,41,106,47
1669,43,107,48
1717,45,109,49
1764,47,114,51
1812,49,110,51
1860,51,115,53
1908,53,115,54
1956,54,114,55
2004,54,117,56
2052,55,125,58
2100,56,123,58
2148,56,130,60
2196,57,135,61
2244,57,137,62
2292,58,143,63
2340,58,150,65
2388,58,152,65
2436,58,163,67
2484,58,169,68
2532,59,177,69
2580,59,180,70
2628,59,180,72
2676,59,180,72
2724,60,180,74
2772,60,180,75
2820,60,180,76
2868,60,180,77
2916,60,180,78
2964,61,180,79
3012,61,180,80
3060,61,180,81
3108,62,180,81
3156,62,180,82
3204,63,180,83
3252,63,180,83
3300,64,180,84
3348,65,180,85
3396,67,180,85
3444,70,180,86
3492,74,180,87
3540,78,180,87
3588,80,180,88
3636,81,180,89
3684,82,180,88
3732,83,180,89
3780,83,180,90
3828,84,180,89
3876,84,180,90
3924,84,180,91
3972,85,180,90
4020,85,180,91
4068,85,180,91
4116,86,180,92
4164,86,180,91
4212,86,180,92
4260,86,180,92
4308,86,180,91
4356,87,180,92
4404,87,180,90
4452,87,180,90
4500,88,180,90
