ms,current,servoWrite,wanted
4,88,0,88
50,88,0,87
89,88,0,87
128,88,0,86
168,88,0,86
208,88,0,85
248,88,0,85
294,87,71,84
340,87,69,84
386,86,66,83
432,86,64,82
478,86,61,82
524,85,57,81
570,85,56,80
616,85,52,80
662,84,48,79
708,84,47,79
754,83,42,78
800,82,40,77
846,81,39,77
892,78,37,76
938,75,42,76
984,71,45,75
1030,68,53,74
1076,67,60,74
1122,65,62,73
1168,65,67,72
1214,64,69,72
1260,64,71,71
1306,64,72,71
1352,64,73,70
1398,63,73,69
1444,63,76,69
1490,63,76,68
1536,63,77,68
1582,63,76,67
1628,63,76,66
1674,63,76,66
1720,63,75,65
1766,63,74,65
1812,63,73,64
1858,63,71,63
1904,63,69,63
1950,63,67,62
1996,63,64,61
2088,62,60,60
2134,62,60,60
2180,62,57,59
2226,62,54,58
2272,62,51,58
2318,62,47,57
2364,62,44,57
2410,62,39,56
2456,61,35,55
2502,61,33,55
2548,61,28,54
2594,61,23,53
2640,61,19,53
2686,60,13,52
2732,60,11,52
2778,60,5,51
2824,60,0,50
2870,60,0,50
2916,59,0,49
2962,59,0,49
3008,59,0,48
3054,59,0,47
3100,58,0,47
3146,58,0,46
3192,58,0,46
3238,57,0,45
3284,57,0,44
3330,56,0,44
3376,56,0,43
3422,55,0,42
3468,55,0,42
3514,54,0,41
3560,53,0,41
3606,52,0,40
3652,50,0,39
3698,49,0,39
3744,47,0,38
3790,46,0,38
3836,44,0,37
3882,43,0,36
3928,42,0,36
3974,41,0,35
4020,40,0,34
4066,39,0,34
4112,38,0,33
4158,38,0,33
4204,37,0,32
4250,37,0,31
4296,36,0,31
4342,36,0,30
4388,36,0,30
4434,35,0,30
4480,35,0,30
4526,35,0,30
4572,35,0,30
4618,34,0,30
4664,34,0,30
4710,34,0,30
4756,34,0,30
4802,34,0,30
4848,34,0,30
4894,33,0,30
4940,33,0,30
4986,33,0,30
5032,33,0,30
5078,33,0,30
5124,33,0,30
5170,32,0,30
