ms,current,servoWrite,wanted
2,34,146,34
23,34,145,33
44,34,145,33
65,34,145,33
86,34,145,33
107,34,145,33
128,34,145,33
149,34,145,33
170,34,146,34
191,34,145,33
212,35,33,33
233,35,32,33
254,35,34,34
275,36,34,34
296,36,32,33
317,36,33,34
338,36,33,34
359,36,33,34
380,36,33,34
401,36,33,34
422,36,33,34
443,36,33,34
464,36,35,35
485,36,33,34
527,36,35,35
548,35,35,35
569,35,35,35
590,35,34,34
611,35,35,35
632,35,35,35
653,35,35,35
674,35,36,36
695,35,36,36
716,35,36,36
737,35,36,36
758,35,36,36
779,35,36,36
800,35,36,36
821,35,38,37
842,35,38,37
863,35,38,37
884,35,39,38
905,35,39,38
926,35,39,38
947,35,39,38
968,35,41,39
989,35,41,39
1010,35,41,39
1031,35,42,40
1052,35,42,40
1073,35,42,40
1094,35,44,41
1115,35,44,41
1136,35,44,41
1157,35,44,41
1178,35,45,42
1199,35,45,42
1220,35,45,42
1241,35,47,43
1262,35,47,43
1283,35,47,43
1304,35,47,43
1325,35,48,44
1346,35,48,44
1367,35,48,44
1388,35,50,45
1409,35,51,46
1430,35,51,46
1451,35,53,47
1472,35,53,47
1493,35,53,47
1514,35,53,47
1535,35,54,48
1556,35,56,49
1577,35,56,49
1598,35,57,50
1619,35,57,50
1640,35,57,50
1661,35,57,50
1682,36,60,52
1703,36,60,52
1724,36,60,52
1745,36,61,53
1766,37,61,53
1787,37,62,54
1808,37,64,55
1829,38,64,55
1850,38,63,55
1871,38,65,56
1892,39,66,57
1913,39,66,57
1934,40,66,57
1955,41,68,59
1976,41,68,59
1997,42,68,59
2018,43,67,59
2039,44,70,61
2060,45,69,61
2081,46,69,61
2102,46,70,62
2123,47,71,63
2144,48,71,63
2165,48,72,64
2186,49,72,64
2207,50,73,65
2228,50,72,65
2249,51,74,66
2270,51,73,66
2291,52,75,67
2312,52,76,68
2333,52,76,68
2354,53,76,68
2375,53,75,68
2396,54,78,70
2417,54,78,70
2438,54,78,70
2459,54,79,71
2480,55,81,72
2501,55,80,72
2522,55,82,73
2543,55,82,73
2564,56,82,73
2585,56,83,74
2606,56,84,75
2627,56,84,75
2648,56,84,75
2669,56,86,76
2690,56,87,77
2711,57,87,77
2732,57,87,77
2753,57,88,78
2774,57,88,78
2795,57,88,78
2816,57,90,79
2837,57,91,80
2858,57,91,80
2879,58,93,81
2900,58,92,81
2921,58,92,81
2942,58,92,81
2963,58,94,82
2984,58,94,82
3005,58,94,82
3026,58,95,83
3047,58,95,83
3068,58,95,83
3089,58,95,83
3110,58,97,84
3131,59,97,84
3152,59,96,84
3173,59,98,85
3194,59,98,85
3215,59,98,85
3236,59,99,86
3257,59,99,86
3278,59,99,86
3299,60,99,86
3320,60,100,87
3341,60,100,87
3362,60,100,87
3383,60,102,88
3404,60,102,88
3425,60,102,88
3446,60,102,88
3467,61,103,89
3488,61,103,89
3509,61,101,88
3530,61,103,89
3551,61,103,89
3572,62,103,89
3593,62,104,90
3614,62,104,90
3635,62,104,90
3656,62,102,89
3677,63,104,90
3698,63,103,90
3719,63,103,90
3740,63,105,91
3761,64,105,91
3782,64,103,90
3803,64,103,90
3824,65,104,91
3845,65,104,91
3866,66,104,91
3887,67,103,91
3908,68,103,91
3929,68,102,91
3950,69,104,92
3971,70,102,91
3992,71,101,91
4013,72,101,91
4034,74,102,92
4055,75,99,91
4076,76,99,91
4097,76,100,92
4118,77,100,92
4139,78,98,91
4160,78,97,91
4181,79,99,92
4202,79,98,92
4223,80,95,90
4244,80,95,90
4265,80,95,90
4286,80,95,90
4307,81,95,90
4328,81,94,90
4349,81,94,90
4370,81,94,90
4391,81,94,90
4412,81,94,90
4433,81,94,90
4454,81,94,90
4475,82,94,90
4496,82,94,90
4517,82,94,90
4538,82,94,90
4559,82,94,90
4580,82,94,90
4601,82,94,90
4622,82,94,90
4643,82,94,90
4664,82,94,90
4685,82,94,90
4706,82,94,90
4727,82,94,90
4748,82,94,90
4769,82,94,90
4790,82,94,90
4811,82,94,90
4832,82,94,90
4853,82,94,90
4874,82,94,90
4895,82,94,90
4916,82,94,90
4937,82,94,90
4958,82,94,90
4979,83,94,90
5000,83,93,90
5021,83,93,90
5042,83,93,90
5063,83,93,90
5084,83,93,90
5105,83,93,90
5126,83,93,90
5147,83,93,90
5168,83,93,90
5189,83,93,90
5210,83,93,90
5231,83,93,90
5252,83,93,90
5273,83,93,90
5294,83,93,90
5315,83,93,90
5336,83,93,90
5357,83,93,90
5378,83,93,90
5399,83,93,90
5420,83,93,90
5441,83,93,90
5462,83,93,90
5483,83,93,90
5504,83,93,90
5525,83,93,90
5546,83,93,90
5567,83,93,90
5588,83,93,90
5609,83,93,90
5630,83,93,90
5651,83,93,90
5672,83,93,90
5693,83,93,90
5714,83,93,90
5735,83,93,90
5756,83,93,90
5777,83,93,90
5798,83,93,90
5819,83,93,90
5840,83,93,90
5861,83,93,90
5903,83,93,90
5924,83,93,90
5945,83,93,90
5966,83,93,90
5987,83,93,90
6008,83,93,90
6029,83,93,90
6050,83,93,90
6071,83,93,90
6092,83,93,90
6113,83,93,90
6134,83,93,90
6155,83,93,90
6176,83,93,90
6197,83,93,90
6218,83,93,90
6239,83,93,90
6260,83,93,90
6281,83,93,90
6302,83,93,90
6323,83,93,90
6344,83,93,90
6365,83,93,90
6386,83,93,90
6407,83,93,90
6428,83,93,90
6449,83,93,90
6470,83,93,90
6491,83,93,90
6512,83,93,90
6533,83,93,90
6554,83,93,90
6575,83,93,90
6596,83,93,90
6617,83,93,90
6638,83,93,90
6659,83,93,90
6680,83,93,90
6701,83,93,90
6722,83,93,90
6743,83,93,90
6764,83,93,90
6785,83,93,90
6806,83,93,90
6827,83,93,90
6848,83,93,90
6869,83,93,90
6890,83,93,90
6911,83,93,90
6932,83,93,90
6953,83,93,90
6974,83,93,90
6995,83,93,90
7016,83,93,90
7037,83,93,90
7058,83,93,90
7079,83,93,90
7100,83,93,90
7121,83,93,90
7142,83,93,90
7163,83,93,90
7184,83,93,90
7205,83,93,90
7226,83,93,90
7247,83,93,90
7268,83,93,90
7289,83,93,90
7310,83,93,90
7331,83,93,90
7352,83,93,90
7373,83,93,90
7394,83,93,90
7415,83,93,90
7436,83,93,90
7457,83,93,90
7478,83,93,90
7499,83,93,90
7520,83,93,90
7541,83,93,90
7562,83,93,90
7583,83,93,90
7604,83,93,90
7625,83,93,90
7646,83,93,90
7667,83,93,90
7688,83,93,90
7709,83,93,90
7730,83,93,90
7751,83,93,90
7772,83,93,90
7793,83,93,90
7814,83,93,90
7835,83,93,90
7856,83,93,90
7877,83,93,90
7898,83,93,90
7919,83,93,90
7940,83,93,90
7961,83,93,90
7982,83,93,90
8003,83,93,90
8024,83,93,90
8045,83,93,90
8066,83,93,90
8087,83,93,90
8108,83,93,90
8129,83,93,90
8150,83,93,90
8171,83,93,90
8192,83,93,90
8213,83,93,90
8234,83,93,90
8255,83,93,90
8276,83,93,90
8297,83,93,90
8318,83,93,90
8339,83,93,90
8360,83,93,90
8381,83,93,90
8402,83,93,90
8423,83,93,90
8444,83,93,90
8465,83,93,90
8486,83,93,90
8507,83,93,90
8528,83,93,90
8549,83,93,90
8570,83,93,90
8591,83,93,90
8612,83,93,90
8633,83,93,90
8654,83,93,90
8675,83,93,90
8696,83,93,90
8717,83,93,90
8738,83,93,90
8759,83,93,90
8780,83,93,90
8801,83,93,90
8822,83,93,90
8843,83,93,90
8864,83,93,90
8885,83,93,90
8906,83,93,90
8927,83,93,90
