ms,current,servoWrite,wanted
4,88,0,88
51,88,0,88
92,88,0,88
133,88,0,88
174,88,0,88
215,87,0,88
262,87,92,87
309,87,87,87
356,86,87,87
403,86,86,86
450,86,90,87
497,86,86,86
544,86,87,86
591,86,87,86
638,86,87,86
685,86,87,86
732,85,83,85
779,85,81,84
826,85,85,85
873,85,80,84
920,85,75,83
967,85,73,83
1014,84,67,82
1062,84,63,81
1110,84,60,81
1158,84,53,80
1206,83,45,79
1254,82,44,79
1302,82,38,78
1350,80,30,77
1398,78,32,77
1446,75,31,76
1494,72,30,74
1542,68,39,74
1590,67,49,73
1638,66,47,71
1686,64,55,71
1734,63,62,70
1782,63,62,68
1830,62,63,67
1878,62,66,66
1926,61,65,65
1974,61,63,63
2022,61,66,63
2070,60,59,61
2118,60,59,60
2166,60,55,59
2214,60,50,58
2262,60,39,56
2310,60,32,55
2358,59,23,54
2406,59,12,52
2453,59,5,52
2500,59,0,50
2548,59,0,49
2596,59,0,48
2644,58,0,47
2692,58,0,45
2739,58,0,45
2787,58,0,44
2835,57,0,42
2882,57,0,42
2930,57,0,41
2978,57,0,39
3025,56,0,39
3072,56,0,38
3120,56,0,37
3167,55,0,37
3214,55,0,36
3262,54,0,35
3309,53,0,35
3356,52,0,34
3403,52,0,33
3450,50,0,33
3497,49,0,32
3544,47,0,31
3591,46,0,31
3638,44,0,30
3686,42,0,31
3734,41,0,30
3782,40,0,29
3830,39,0,29
3878,38,0,29
3926,37,0,28
3974,36,0,28
4022,35,0,28
4070,35,0,28
4118,35,0,27
4166,34,0,28
4214,34,0,27
4262,34,0,27
4310,33,0,28
4358,33,0,27
4406,33,0,30
4454,32,0,30
