ms,current,servoWrite,wanted
4,32,148,32
52,32,148,32
93,32,148,32
134,32,149,33
175,32,149,33
216,32,150,34
257,33,150,34
304,33,45,35
351,33,49,36
398,33,52,36
445,33,56,37
492,33,59,37
539,34,64,38
586,34,66,39
633,34,70,39
680,34,75,40
727,35,80,41
774,35,82,41
821,36,87,42
868,37,89,42
915,37,92,43
962,39,97,44
1009,40,96,44
1056,42,99,45
1103,44,99,46
1150,47,97,46
1197,49,93,47
1245,51,91,48
1293,53,88,48
1341,54,84,49
1389,55,82,49
1437,56,81,50
1485,57,79,51
1533,57,76,51
1581,54,77,52
1629,58,85,53
1677,58,76,53
1725,58,77,54
1773,59,78,55
1821,59,76,55
1869,59,78,56
1917,59,78,56
1965,59,80,57
2013,59,82,58
2061,59,83,58
2109,60,86,59
2157,60,86,60
2205,60,88,60
2252,60,90,61
2299,60,93,62
2346,60,96,62
2393,60,99,63
2441,61,102,63
2489,61,104,64
2537,61,108,65
2585,62,111,65
2633,62,113,66
2681,62,118,67
2729,62,121,67
2777,62,126,68
2825,63,131,69
2873,63,133,69
2921,64,138,70
2969,64,141,71
3017,64,146,71
3065,65,151,72
3113,67,154,72
3161,69,154,73
3209,72,155,74
3257,76,151,74
3305,79,145,75
3353,81,140,76
3401,83,136,76
3449,84,132,77
3497,84,130,78
3545,85,129,78
3593,85,127,79
3641,85,127,79
3689,86,127,80
3737,86,125,81
3785,86,125,81
3833,86,126,82
3881,87,127,83
3929,87,125,83
3977,87,126,84
4025,87,128,85
4073,87,129,85
4121,88,131,86
