ms,current,servoWrite,wanted
4,88,0,88
51,88,0,87
92,88,0,87
133,88,0,85
174,87,0,85
221,87,70,83
268,87,63,82
315,87,58,81
362,86,52,80
409,86,45,78
456,86,42,78
503,86,35,77
550,85,24,75
597,85,23,75
644,85,12,73
691,84,4,72
738,84,1,72
785,83,0,70
832,82,0,69
879,80,0,69
926,77,0,68
973,74,0,67
1020,70,0,67
1068,68,0,66
1116,66,0,65
1164,65,0,65
1212,64,0,64
1260,63,0,63
1307,63,0,63
1355,62,0,62
1403,62,0,61
1451,61,0,61
1498,61,0,61
1546,61,0,60
1594,61,0,60
1642,60,0,60
1690,60,0,59
1738,60,0,59
1834,60,0,58
1882,59,0,59
1930,59,0,58
1978,59,0,58
2026,59,0,58
2074,58,0,58
2122,58,0,57
2169,58,0,58
2217,58,0,57
2264,57,0,57
2311,57,0,58
2358,57,0,57
2405,56,0,57
2452,56,0,57
2499,55,0,57
2546,54,0,56
2593,54,0,57
2640,53,0,56
2687,51,0,56
2734,50,0,56
2781,49,0,55
2828,47,0,56
2875,46,0,55
2922,44,1,54
2970,42,13,55
3018,41,19,54
3114,39,30,53
3162,38,34,52
3210,38,38,51
3258,37,43,51
3306,37,51,51
3354,37,49,49
3402,37,50,48
3450,37,54,48
3498,37,55,47
3546,37,56,46
3594,37,60,46
3642,37,60,45
3689,37,56,43
3736,38,59,43
3784,38,55,42
3832,38,50,40
3879,38,51,40
3927,38,44,38
3975,38,41,37
4023,38,41,37
4071,38,34,35
4119,38,30,34
4167,38,25,33
4215,38,20,32
4263,37,10,30
4310,37,6,29
4357,36,0,28
4404,36,6,30
4451,36,3,30
4498,35,0,30
4546,35,1,30
4594,35,0,30
4642,34,0,30
4690,34,0,30
4738,34,0,30
4786,34,0,30
4834,33,0,30
4882,33,0,30
4930,33,0,30
4978,33,0,30
5026,32,0,30
