ms,current,servoWrite,wanted
4,32,148,32
52,32,147,31
93,32,147,31
134,32,147,31
175,32,147,31
216,32,147,31
257,32,148,32
304,33,31,32
351,33,29,32
398,33,28,32
445,33,27,32
492,33,31,33
539,33,26,32
586,33,30,33
633,33,29,33
680,33,29,33
727,33,34,34
774,33,38,35
821,33,35,34
868,33,41,35
915,33,47,36
962,33,50,36
1009,33,57,37
1056,33,65,38
1103,33,70,38
1150,33,79,39
1197,33,89,40
1244,34,96,40
1291,34,104,41
1338,35,115,42
1386,35,119,42
1433,36,131,43
1480,37,140,44
1527,39,149,45
1575,41,154,46
1623,43,159,47
1671,46,163,48
1718,48,163,49
1766,50,169,51
1814,52,165,51
1862,53,169,53
1910,54,171,54
1958,55,173,55
2006,56,175,56
2054,56,180,58
2102,57,180,58
2150,57,180,60
2198,58,180,61
2246,58,180,62
2294,58,180,63
2342,58,180,65
2390,59,180,65
2438,59,180,67
2486,59,180,69
2534,59,180,69
2582,60,180,71
2630,60,180,72
2678,60,180,72
2726,61,180,74
2774,60,180,75
2822,61,180,76
2870,61,180,77
2918,62,180,78
2966,62,180,79
3014,62,180,80
3062,63,180,81
3110,63,180,81
3158,64,180,82
3206,65,180,83
3254,67,180,83
3302,70,180,84
3350,73,180,85
3398,77,180,85
3446,80,180,86
3494,81,180,87
3542,82,180,87
3590,83,180,88
3638,83,180,89
3686,84,180,88
3734,84,180,89
3782,84,180,90
3830,85,180,90
3878,85,180,90
3926,85,180,91
3974,86,180,91
4022,86,180,91
4070,86,180,91
4118,86,180,92
4166,86,180,91
4214,87,180,92
4262,87,180,92
4310,87,180,91
4358,87,180,92
4406,88,180,90
