ms,current,servoWrite,wanted
4,88,0,88
52,88,0,88
93,88,0,88
134,88,0,88
175,88,0,88
216,88,0,88
257,88,0,87
298,87,0,88
345,86,98,88
392,85,92,87
439,83,100,88
486,83,101,87
533,82,102,87
580,82,107,87
627,82,108,87
674,82,110,87
721,83,112,87
768,85,111,87
815,86,103,86
862,87,103,86
909,88,100,86
956,88,97,86
997,88,0,86
1038,88,0,85
1080,88,0,85
1122,88,0,85
1164,88,0,85
1206,88,0,85
1248,88,0,84
1290,88,0,84
1338,86,71,83
1386,85,75,83
1434,82,76,83
1482,80,80,82
1578,77,85,81
1626,76,88,81
1673,76,88,80
1721,76,90,80
1769,76,87,79
1817,76,89,79
1865,76,86,78
1913,76,88,78
1961,76,89,78
2009,76,85,77
2057,76,87,77
2105,76,79,75
2153,76,80,75
2201,76,75,74
2249,76,75,74
2297,75,71,73
2345,74,70,72
2393,73,72,72
2441,72,69,71
2489,71,67,70
2537,70,65,69
2585,69,68,69
2633,69,62,67
2681,68,61,67
2729,68,60,66
2777,68,55,65
2825,67,54,65
2873,67,52,64
2921,67,47,63
2969,66,42,62
3017,66,39,61
3065,66,33,60
3113,66,32,60
3161,66,21,58
3209,66,19,58
3257,65,12,57
3304,65,8,56
3351,65,4,56
3399,65,0,54
3447,65,0,54
3495,64,0,53
3543,64,0,52
3591,64,0,51
3639,64,0,51
3687,63,0,49
3735,63,0,49
3783,63,0,49
3831,63,0,47
3879,62,0,47
3927,62,0,46
3975,61,0,45
4023,61,0,44
4071,60,0,44
4119,60,0,43
4167,59,0,43
4215,58,0,42
4263,57,0,41
4311,56,0,41
4359,54,0,40
4407,53,0,40
4455,51,0,39
4503,50,0,39
4551,48,0,38
4599,47,0,38
4647,46,0,38
4695,45,0,37
4743,44,0,37
4791,43,0,36
4839,42,0,36
4887,42,0,35
4935,41,0,35
4983,41,0,34
5031,40,0,34
5079,40,0,33
5127,40,0,33
5175,40,0,33
5223,39,0,33
5271,39,0,33
5319,39,0,32
5367,39,0,32
5415,38,0,32
5463,38,0,32
5511,38,0,31
5559,38,0,31
5607,38,0,32
5655,38,0,31
5703,37,0,31
5751,37,0,31
5799,37,0,31
5847,37,0,30
5895,37,0,31
5943,37,0,30
5991,37,0,31
6039,36,0,31
6087,36,0,30
6135,36,0,31
6183,36,0,30
6231,36,0,33
6279,36,0,33
6327,36,0,33
6375,35,0,33
