ms,current,servoWrite,wanted
2,34,146,34
23,34,145,33
44,34,145,33
65,34,145,33
86,34,145,33
107,34,145,33
128,34,145,33
149,34,145,33
170,34,146,34
191,34,145,33
212,35,145,33
233,35,26,33
254,35,30,34
275,36,30,34
296,36,23,33
317,36,27,34
338,36,27,34
359,36,26,34
380,36,26,34
401,36,26,34
422,36,26,34
443,36,26,34
464,36,29,35
485,36,25,34
527,36,28,35
548,35,28,35
569,35,31,35
590,35,27,34
611,35,31,35
632,35,31,35
653,35,31,35
674,35,34,36
695,34,34,36
716,34,36,36
737,34,148,36
758,34,148,36
779,34,148,36
800,34,148,36
821,34,149,37
842,34,149,37
863,34,149,37
884,34,46,38
905,34,47,38
926,34,47,38
947,34,48,38
968,35,52,39
989,35,50,39
1010,35,50,39
1031,35,54,40
1052,35,54,40
1073,35,55,40
1094,35,59,41
1115,35,60,41
1136,35,60,41
1157,35,61,41
1178,36,65,42
1199,36,63,42
1220,36,64,42
1241,37,68,43
1262,37,66,43
1283,38,67,43
1304,38,65,43
1325,39,69,44
1346,39,67,44
1367,40,67,44
1388,40,69,45
1409,41,73,46
1430,42,71,46
1451,42,72,47
1472,44,73,47
1493,45,68,47
1514,46,66,47
1535,46,67,48
1556,47,71,49
1577,48,69,49
1598,48,70,50
1619,49,70,50
1640,49,68,50
1661,50,68,50
1682,50,72,52
1703,50,73,52
1724,51,73,52
1745,51,74,53
1766,52,74,53
1787,52,75,54
1808,53,79,55
1829,53,77,55
1850,53,77,55
1871,54,81,56
1892,54,82,57
1913,54,82,57
1934,54,83,57
1955,55,90,59
1976,55,88,59
1997,55,89,59
2018,55,89,59
2039,56,97,61
2060,56,95,61
2081,56,95,61
2102,56,99,62
2123,56,103,63
2144,56,104,63
2165,57,108,64
2186,57,107,64
2207,57,111,65
2228,57,112,65
2249,57,116,66
2270,57,117,66
2291,57,121,67
2312,58,126,68
2333,58,125,68
2354,58,126,68
2375,58,127,68
2396,58,135,70
2417,58,136,70
2438,58,137,70
2459,58,142,71
2480,58,147,72
2501,58,148,72
2522,58,153,73
2543,59,155,73
2564,59,154,73
2585,59,159,74
2606,59,164,75
2627,59,165,75
2648,59,167,75
2669,60,172,76
2690,59,175,77
2711,60,179,77
2732,60,178,77
2753,60,180,78
2774,60,180,78
2795,61,180,78
2816,61,180,79
2837,61,180,80
2858,61,180,80
2879,62,180,81
2900,62,180,81
2921,62,180,81
2942,62,180,81
2963,63,180,82
2984,63,180,82
3005,63,180,82
3026,64,180,83
3047,64,180,83
3068,65,180,83
3089,65,180,83
3110,66,180,84
3131,67,180,84
3152,67,180,84
3173,68,180,85
3194,70,180,85
3215,72,180,85
3236,73,180,86
3257,75,180,86
3278,76,180,86
3299,78,180,86
3320,78,180,87
3341,79,180,87
3362,80,180,87
3383,81,180,88
3404,81,180,88
3425,82,180,88
3446,82,180,88
3467,82,180,89
3488,83,180,89
3509,83,180,88
3530,83,180,89
3551,83,180,89
3572,83,180,89
3593,84,180,90
3614,84,180,90
3635,84,180,90
3656,84,180,89
3677,84,180,90
3698,84,180,90
3719,84,180,90
3740,84,180,91
3761,84,180,91
3782,84,180,90
3803,85,180,90
3824,85,180,91
3845,85,180,91
3866,85,180,91
3887,85,180,91
3908,85,180,91
3929,85,180,91
3950,85,180,92
3971,85,180,91
3992,86,180,91
4013,86,180,91
4034,86,180,92
4055,86,180,91
4076,86,180,91
4097,86,180,92
4118,86,180,92
4139,86,180,91
4160,86,180,91
4181,86,180,92
4202,87,180,92
4223,87,180,90
4244,87,180,90
4265,87,180,90
4286,87,180,90
4307,87,180,90
4328,87,180,90
4349,88,180,90
