ms,current,servoWrite,wanted
4,31,149,31
50,31,149,31
89,31,149,31
128,31,150,32
168,31,150,32
208,32,151,33
253,32,38,33
298,32,43,34
343,32,46,35
388,32,49,35
433,32,53,36
478,32,56,36
523,33,60,37
568,33,63,38
613,33,66,38
658,33,71,39
703,33,75,39
748,34,80,40
793,34,83,41
838,34,87,41
883,35,93,42
928,35,95,42
974,35,101,43
1020,36,106,44
1066,37,109,44
1112,37,112,45
1158,38,117,45
1204,39,121,46
1250,41,124,47
1296,43,124,47
1342,45,124,48
1388,47,123,48
1434,50,123,49
1480,51,119,50
1527,53,118,50
1574,55,116,51
1621,56,113,52
1668,57,111,52
1715,57,109,53
1761,58,110,53
1808,58,108,54
1854,59,110,55
1901,59,107,55
1947,59,109,56
1993,60,110,57
2040,60,108,57
2086,60,110,58
2132,60,111,58
2178,61,113,59
2225,61,113,60
2271,61,114,60
2317,61,116,61
2363,61,118,61
2409,62,121,62
2455,62,121,63
2501,62,123,63
2547,62,126,64
2593,63,130,65
2639,63,130,65
2685,64,134,66
2731,64,134,66
2777,64,138,67
2823,65,142,68
2869,65,142,68
2915,66,146,69
2961,68,147,69
3007,70,146,70
3053,74,145,71
3100,77,137,71
3147,80,131,72
3194,82,125,73
3241,83,119,73
3288,84,116,74
3335,85,111,74
3382,85,108,75
3428,85,107,76
3474,86,104,76
3521,86,101,77
3567,86,100,78
3613,86,99,78
3659,86,98,79
3705,86,97,79
3751,86,97,80
3797,86,97,81
3843,86,97,81
3889,86,97,82
3935,86,97,82
3981,86,99,83
4027,86,100,84
4073,86,101,84
4119,86,103,85
4165,86,104,85
4211,86,106,86
4257,86,109,87
4303,86,111,87
4349,87,114,88
4395,87,115,89
4441,87,118,89
4487,87,121,90
4533,87,122,90
4579,87,123,90
4625,88,124,90
