ms,current,servoWrite,wanted
4,88,0,88
51,88,0,88
92,88,0,88
133,88,0,88
174,87,0,88
221,87,98,88
268,87,88,87
315,86,92,88
362,86,91,87
409,86,92,87
456,86,92,87
503,86,88,86
550,86,89,86
597,86,89,86
644,85,89,86
691,85,88,85
738,85,88,85
785,85,88,85
832,85,84,84
879,85,84,84
926,85,81,83
973,84,77,82
1020,84,79,82
1068,84,74,81
1116,84,69,80
1164,83,68,80
1212,83,65,79
1260,83,60,78
1308,82,58,78
1356,82,55,77
1404,81,49,76
1452,80,50,76
1500,78,43,74
1548,76,43,73
1596,73,46,73
1644,69,45,71
1692,66,51,70
1740,64,59,70
1788,63,57,68
1836,62,58,67
1884,62,58,66
1932,61,56,65
1980,61,53,63
2028,60,54,63
2076,60,50,61
2124,60,47,60
2172,59,44,59
2220,59,39,57
2268,59,35,56
2316,59,30,55
2364,58,25,54
2412,58,19,52
2460,58,17,52
2507,58,6,50
2602,58,0,48
2650,57,0,47
2698,57,0,45
2745,57,0,45
2793,57,0,44
2841,56,0,42
2888,56,0,42
2936,56,0,41
2984,56,0,39
3031,55,0,39
3078,55,0,38
3126,54,0,37
3173,54,0,37
3221,53,0,36
3268,52,0,35
3315,52,0,35
3363,50,0,34
3410,49,0,33
3457,48,0,33
3504,46,0,32
3551,45,0,31
3598,43,0,31
3646,45,0,30
3694,40,0,30
3742,39,0,30
3790,38,0,29
3837,37,0,29
3884,36,0,29
3931,35,0,29
3978,35,0,28
4025,34,0,28
4073,34,0,28
4121,33,0,27
4169,33,0,28
4217,33,0,27
4265,32,0,27
