ms,current,servoWrite,wanted
4,101,0,101
52,101,0,100
94,100,0,100
142,99,180,99
190,97,97,99
238,96,125,98
286,95,140,97
334,95,161,97
382,95,162,96
430,95,160,95
478,95,154,95
526,96,142,94
574,97,102,93
622,98,54,93
669,98,0,92
717,98,0,92
765,97,0,91
812,95,0,90
859,92,0,90
906,91,0,89
954,89,0,88
1002,88,0,88
1050,86,0,87
1098,84,0,86
1146,83,0,86
1194,83,0,85
1242,82,0,85
1290,82,0,84
1338,81,0,83
1386,81,0,83
1434,80,0,82
1482,80,0,81
1578,79,0,80
1626,79,0,79
1674,79,0,79
1722,79,0,78
1770,78,0,77
1818,78,0,77
1866,78,0,76
1914,77,0,76
1962,77,0,75
2010,77,0,74
2058,76,0,74
2106,76,0,73
2154,76,0,72
2202,75,0,72
2250,74,0,71
2346,72,0,70
2394,70,0,69
2442,67,0,69
2490,62,0,68
2538,59,0,67
2586,57,0,67
2634,56,0,66
2682,55,74,65
2731,55,160,65
2780,54,180,64
2829,54,180,63
2878,54,180,63
2927,54,180,62
2976,54,180,61
3025,54,180,61
3074,55,180,60
3123,56,180,59
3172,57,180,59
3221,60,180,58
3270,63,180,58
3319,66,180,57
3368,69,180,56
3417,71,175,56
3466,73,21,55
3514,73,0,54
3562,73,0,54
3610,74,0,53
3658,74,0,52
3706,74,0,52
3755,74,0,51
3804,73,0,50
3852,72,0,50
3900,70,0,49
3948,67,0,48
3996,62,0,48
4044,59,0,47
4092,57,0,47
4140,56,0,46
4188,55,0,45
4236,55,0,45
4284,54,0,44
4332,54,0,43
4380,53,0,43
4428,53,0,42
4476,53,0,41
4524,52,0,41
4572,52,0,40
4620,52,0,39
4668,52,0,39
4716,52,0,38
4764,51,0,38
4812,51,0,37
4860,51,0,36
4908,51,0,36
4956,51,0,35
5004,51,0,34
5052,50,0,34
5100,50,0,33
5149,50,0,32
5198,49,0,32
5246,49,0,31
5295,49,0,31
5344,48,0,30
5392,48,0,29
5441,47,0,29
5490,47,0,29
5538,47,0,29
5586,46,0,29
5634,45,0,29
5682,44,0,29
5730,43,0,29
5778,42,0,29
5826,40,0,29
5874,39,0,29
5922,38,0,29
5970,36,0,29
6018,34,0,29
6066,33,0,29
6114,32,0,29
6162,31,0,29
