ms,current,servoWrite,wanted
4,110,0,110
52,110,0,109
94,110,0,109
136,110,0,108
178,110,0,108
226,109,88,107
274,109,60,106
322,109,47,106
370,108,33,105
418,108,32,105
466,107,16,104
514,107,14,103
562,106,0,103
610,105,0,102
658,103,0,101
706,101,2,101
754,98,14,100
802,96,42,99
850,94,61,99
898,92,82,98
946,91,106,97
994,89,121,97
1042,88,150,96
1091,88,168,96
1140,88,174,95
1189,88,180,94
1238,89,180,94
1287,89,176,93
1336,90,177,92
1385,91,163,92
1434,93,147,91
1483,94,114,90
1532,95,91,90
1580,95,63,89
1628,95,45,88
1676,94,25,88
1724,92,17,87
1772,90,21,86
1821,89,27,86
1869,88,21,85
1917,87,19,85
1965,86,16,84
2013,86,14,83
2061,85,1,83
2109,85,0,82
2157,84,0,81
2205,84,0,81
2253,83,0,80
2301,83,0,79
2349,83,0,79
2397,83,0,78
2445,82,0,77
2493,82,0,77
2541,82,0,76
2589,81,0,76
2637,81,0,75
2685,81,0,74
2733,80,0,74
2781,80,0,73
2829,80,0,72
2877,79,0,72
2925,79,0,71
2973,78,0,70
3021,77,0,70
3069,75,0,69
3117,73,0,69
3165,70,0,68
3213,66,0,67
3261,63,0,67
3309,60,0,66
3357,59,0,65
3405,59,0,65
3453,58,0,64
3501,58,0,63
3549,57,0,63
3597,57,0,62
3645,57,0,61
3693,56,0,61
3741,56,0,60
3789,56,0,60
3837,56,0,59
3885,55,0,58
3933,55,0,58
3981,55,0,57
4029,55,0,56
4077,55,0,56
4125,54,0,55
4173,54,0,54
4221,54,0,54
4269,54,0,53
4317,54,0,53
4365,53,0,52
4413,53,0,51
4461,52,0,51
4509,52,0,50
4557,51,0,49
4605,51,0,49
4653,51,0,48
4701,50,0,47
4749,49,0,47
4797,48,0,46
4845,47,0,45
4893,45,0,45
4941,44,0,44
4989,42,0,44
5037,40,0,43
5085,38,0,42
5133,37,0,42
5181,36,0,41
5229,34,0,40
5277,33,0,40
5325,33,0,39
5373,32,0,38
5421,31,0,38
5469,31,0,37
5517,30,0,37
5565,30,12,36
5613,30,15,35
5661,29,19,35
