ms,current,servoWrite,wanted
4,33,175,33
52,33,175,33
94,33,175,33
136,33,176,34
178,33,176,34
220,33,177,35
262,33,177,35
309,34,76,36
356,35,88,37
403,37,87,37
450,38,78,38
497,39,78,39
544,41,76,39
591,43,64,40
638,44,51,40
686,45,47,41
734,45,43,42
782,45,47,42
830,45,51,43
878,45,57,44
926,45,61,44
974,45,68,45
1022,45,75,46
1070,45,82,46
1118,45,90,47
1166,47,98,47
1214,49,88,48
1262,50,79,49
1310,51,77,49
1358,52,74,50
1406,52,71,51
1454,52,77,51
1502,53,84,52
1550,53,81,53
1598,54,88,53
1646,54,85,54
1694,54,94,55
1743,55,100,55
1791,55,99,56
1839,55,107,56
1887,56,116,57
1936,56,115,58
1984,56,124,58
2032,57,134,59
2081,57,134,60
2130,57,144,60
2179,57,155,61
2228,57,166,62
2277,58,177,62
2326,58,180,63
2375,58,180,64
2424,58,180,64
2473,58,180,65
2522,59,180,66
2571,59,180,66
2620,59,180,67
2669,60,180,67
2718,61,180,68
2767,61,180,69
2816,62,180,69
2865,64,180,70
2914,66,180,71
2963,69,180,71
3012,73,180,72
3061,76,180,73
3110,78,180,73
3159,79,180,74
3208,80,180,75
3257,81,180,75
3306,81,180,76
3355,82,180,77
3404,82,180,77
3453,83,180,78
3502,83,180,79
3551,83,180,79
3600,83,180,80
3649,84,180,81
3698,84,180,81
3747,84,180,82
3796,84,180,83
3845,85,180,83
3894,85,180,84
3943,85,180,84
3991,85,180,85
4039,86,180,86
4088,86,180,86
4136,86,180,87
4184,86,180,88
4233,87,180,88
4282,87,180,89
4330,87,180,90
4378,88,180,90
4427,88,180,91
4475,89,180,92
4524,89,180,92
4572,90,180,93
4621,91,180,94
4670,92,180,94
4719,93,180,95
4768,94,180,95
4817,96,180,96
4866,97,180,97
4915,98,180,97
4963,100,180,98
5012,101,180,99
5061,103,180,99
