ms,current,servoWrite,wanted
4,31,171,31
52,31,171,31
94,31,171,31
136,31,172,32
178,31,172,32
220,31,173,33
262,32,173,33
309,33,76,34
356,34,93,35
403,36,93,35
450,37,79,36
497,39,78,37
544,41,60,37
591,43,42,38
639,44,21,38
687,44,11,39
735,44,13,40
783,43,13,40
831,41,29,41
878,40,59,42
925,39,79,42
973,39,105,43
1021,39,121,44
1069,39,139,44
1117,40,159,45
1165,43,166,45
1213,45,147,46
1261,47,141,47
1310,48,129,47
1359,49,129,48
1408,50,127,49
1457,51,123,49
1506,52,119,50
1555,52,115,51
1604,53,123,51
1653,53,118,52
1701,54,127,53
1750,54,121,53
1798,54,131,54
1846,55,140,55
1895,55,137,55
1943,55,148,56
1991,55,159,56
2039,55,171,57
2087,56,180,58
2136,56,180,58
2185,56,180,59
2234,56,180,60
2283,56,180,60
2332,57,180,61
2381,57,180,62
2430,57,180,62
2479,58,180,63
2528,59,180,64
2577,60,180,64
2626,61,180,65
2675,63,180,66
2724,66,180,66
2773,70,180,67
2822,73,180,68
2871,75,180,68
2920,76,180,69
2969,77,180,69
3018,78,180,70
3067,79,167,71
3116,79,149,71
3165,80,145,72
3214,80,128,73
3263,81,124,73
3312,81,107,74
3361,81,104,75
3410,81,101,75
3458,81,99,76
3506,81,99,77
3554,81,99,77
3603,81,101,78
3652,81,105,79
3701,81,109,79
3750,81,115,80
3799,81,123,81
3847,81,131,81
3895,81,141,82
3943,81,151,82
3991,82,164,83
4040,82,164,84
4088,82,178,84
4136,83,180,85
4184,83,180,86
4232,83,180,86
4280,83,180,87
4328,83,180,88
4376,84,180,88
4425,84,180,89
4473,84,180,90
4521,84,180,90
4570,85,180,91
4619,85,180,91
4668,85,180,92
4717,86,180,93
4766,86,180,93
4814,87,180,94
4863,88,180,95
4912,89,180,95
4961,90,180,96
5010,91,180,97
5059,92,180,97
5108,94,180,98
5157,95,180,99
5206,97,180,99
5255,98,180,100
5304,100,180,101
