ms,current,servoWrite,wanted
4,105,0,105
52,105,0,104
94,105,0,104
136,104,0,103
184,103,118,103
232,102,97,102
280,101,98,101
328,99,100,101
376,97,109,100
424,95,119,99
472,94,131,99
520,94,136,98
568,94,135,98
616,94,134,97
664,94,132,96
712,94,130,96
760,94,127,95
808,94,123,94
856,94,119,94
904,94,114,93
952,94,108,92
1000,94,102,92
1048,94,95,91
1096,93,88,90
1144,91,89,90
1192,89,94,89
1241,87,103,89
1290,86,111,88
1339,86,113,87
1388,85,109,87
1437,85,113,86
1486,85,107,85
1535,85,104,85
1583,85,98,84
1631,84,92,83
1679,84,95,83
1728,83,87,82
1776,83,88,81
1824,83,82,81
1872,82,76,80
1920,82,76,79
1968,82,68,79
2016,81,60,78
2064,81,60,78
2112,81,51,77
2161,81,42,76
2210,80,33,76
2258,80,31,75
2307,80,20,74
2356,79,10,74
2404,79,6,73
2452,79,0,72
2500,78,0,72
2548,78,0,71
2596,78,0,70
2644,77,0,70
2692,77,0,69
2740,76,0,69
2788,75,0,68
2836,74,0,67
2884,72,0,67
2932,69,0,66
2980,65,0,65
3028,61,0,65
3076,59,0,64
3124,58,0,63
3172,57,0,63
3220,57,2,62
3268,56,2,62
3317,56,10,61
3365,55,9,60
3414,55,17,60
3463,55,16,59
3512,54,14,58
3561,54,22,58
3610,54,19,57
3659,54,17,56
3708,53,15,56
3757,53,20,55
3806,53,16,54
3855,53,13,54
3903,53,9,53
3951,53,4,52
3999,52,0,52
4047,52,1,51
4095,52,0,50
4143,52,0,50
4191,51,0,49
4239,51,0,49
4287,51,0,48
4335,50,0,47
4383,50,0,47
4431,49,0,46
4479,49,0,45
4527,48,0,45
4575,48,0,44
4623,47,0,43
4671,46,0,43
4719,45,0,42
4767,43,0,42
4815,42,0,41
4863,40,0,40
4911,39,0,40
4959,37,0,39
5007,35,0,38
