ms,current,servoWrite,wanted
4,102,0,102
52,102,0,101
94,101,0,101
142,99,94,100
190,97,114,100
238,95,139,99
286,95,169,98
334,95,174,98
382,95,175,97
430,95,174,96
478,96,171,96
526,97,149,95
574,98,120,94
622,99,86,94
670,99,44,93
718,99,13,93
766,98,0,92
813,96,0,91
860,94,0,91
907,92,0,90
955,91,0,89
1003,89,0,89
1051,88,0,88
1099,86,0,87
1147,85,0,87
1195,84,6,86
1243,84,19,86
1291,83,16,85
1339,83,26,84
1387,82,22,84
1435,82,32,83
1483,82,26,82
1531,81,19,82
1579,81,25,81
1628,81,16,80
1676,80,5,80
1724,80,6,79
1772,80,0,78
1820,80,0,78
1868,79,0,77
1916,79,0,77
1964,79,0,76
2012,78,0,75
2060,78,0,75
2108,78,0,74
2156,77,0,73
2204,77,0,73
2252,76,0,72
2300,75,0,71
2348,74,0,71
2396,71,0,70
2444,68,0,70
2492,64,0,69
2540,61,0,68
2588,59,0,68
2637,58,12,67
2685,57,50,66
2734,56,90,66
2783,56,131,65
2832,56,158,64
2881,56,180,64
2930,56,180,63
2979,56,180,62
3028,56,180,62
3077,56,180,61
3126,56,180,60
3175,54,180,60
3224,58,180,59
3273,60,180,58
3371,67,153,57
3420,70,57,57
3468,72,0,56
3516,72,0,55
3564,72,0,55
3612,72,0,54
3660,72,0,53
3708,72,0,53
3756,70,0,52
3804,68,0,51
3852,65,0,51
3900,62,0,50
3948,60,0,49
3996,58,0,49
4044,57,0,48
4092,56,0,48
4140,56,0,47
4188,55,0,46
4236,55,0,46
4284,55,0,45
4333,54,0,44
4381,54,0,44
4429,54,0,43
4477,54,0,42
4525,54,0,42
4574,53,0,41
4622,53,0,40
4670,53,0,40
4718,53,0,39
4766,53,0,39
4815,52,0,38
4863,52,0,37
4911,52,0,37
4960,52,0,36
5008,52,0,35
5056,51,0,35
5104,51,0,34
5152,50,0,33
5200,50,0,33
5248,50,0,32
5297,49,0,31
5346,49,0,31
5395,48,0,30
5443,48,0,30
5492,47,0,29
5540,46,0,29
5589,45,0,29
5637,43,0,29
5685,42,0,29
5734,40,0,29
5782,39,0,29
5830,37,0,29
5878,35,0,29
5926,34,0,29
5974,33,0,29
6022,32,0,29
6070,31,0,29
