ms,current,servoWrite,wanted
4,32,168,32
52,32,168,32
94,32,168,32
136,32,169,33
178,32,169,33
220,33,170,34
267,33,84,34
315,34,102,35
363,34,110,36
411,34,125,36
459,34,143,37
507,35,164,38
555,35,177,38
603,35,180,39
651,35,180,40
699,36,180,40
747,36,180,41
795,36,180,42
843,37,180,42
891,37,180,43
939,38,180,43
987,38,180,44
1035,39,180,45
1083,40,180,45
1131,41,180,46
1179,42,180,47
1227,44,180,47
1275,46,180,48
1323,48,180,49
1371,51,180,49
1420,53,180,50
1469,55,180,50
1518,56,180,51
1567,58,180,52
1616,58,180,52
1665,59,180,53
1714,60,180,54
1763,60,180,54
1812,61,180,55
1861,61,180,56
1910,62,180,56
1959,62,180,57
2008,62,180,58
2057,62,180,58
2106,63,180,59
2155,63,180,60
2204,63,180,60
2253,63,180,61
2302,64,180,62
2351,64,180,62
2400,64,180,63
2449,64,180,64
2498,64,180,64
2547,64,180,65
2596,65,180,66
2645,65,180,66
2694,65,180,67
2743,66,180,67
2792,67,180,68
2841,68,180,69
2890,69,180,69
2939,72,180,70
2988,74,180,71
3037,78,180,71
3086,81,180,72
3135,83,180,73
3184,84,180,73
3233,85,180,74
3282,86,162,75
3331,87,119,75
3379,87,76,76
3427,88,42,77
3475,88,0,77
3523,88,0,78
3571,88,0,79
3619,88,0,79
3667,88,0,80
3715,87,0,80
3763,86,0,81
3811,85,0,82
3859,83,0,82
3907,80,0,83
3955,76,0,84
4003,73,0,84
4051,70,13,85
4099,69,95,86
4148,68,174,86
4197,68,180,87
4246,68,180,88
4295,68,180,88
4344,68,180,89
4393,68,180,89
4442,69,180,90
4491,72,180,91
4540,75,180,91
4589,78,180,92
4638,81,180,93
4687,83,180,93
4736,84,180,94
4785,85,180,95
4834,86,180,95
4883,87,180,96
4932,88,180,97
4981,88,180,97
5030,88,180,98
5079,89,180,99
5128,89,180,99
5177,89,180,100
5226,89,180,100
5275,90,180,100
5324,90,180,100
5373,90,180,100
5422,90,180,100
5471,90,180,100
5520,91,180,100
5569,91,180,100
5618,91,180,100
5667,91,180,100
5716,92,180,100
5765,92,180,100
5814,92,180,100
5863,92,180,100
5912,93,180,100
5961,93,180,100
6010,94,180,100
6059,94,180,100
6108,94,180,100
6157,95,180,100
6206,96,180,100
6255,96,180,100
6304,97,180,100
6353,99,180,100
