ms,current,servoWrite,wanted
4,101,0,101
52,101,0,100
94,100,0,100
141,98,97,99
189,96,107,99
237,94,117,98
285,93,127,97
333,93,130,97
381,93,124,96
429,93,117,95
477,93,112,95
525,93,106,94
573,92,100,93
621,91,103,93
669,90,105,92
717,89,108,92
765,88,110,91
813,88,111,90
861,87,106,90
909,87,108,89
957,87,102,88
1005,87,97,88
1053,86,91,87
1101,86,93,86
1149,85,88,86
1197,85,90,85
1246,85,84,84
1294,84,79,84
1342,84,81,83
1390,84,76,83
1438,83,70,82
1486,83,72,81
1534,83,67,81
1582,83,60,80
1630,82,54,79
1678,82,57,79
1726,82,51,78
1775,81,45,77
1823,81,48,77
1872,81,42,76
1921,81,35,75
1970,80,30,75
2018,80,32,74
2067,80,27,74
2116,79,21,73
2165,79,22,72
2214,78,17,72
2263,77,19,71
2312,75,21,70
2361,73,31,70
2410,71,41,69
2459,67,51,68
2508,64,77,68
2556,62,95,67
2605,61,104,66
2654,60,107,66
2703,60,109,65
2752,60,103,64
2801,60,98,64
2850,61,91,63
2899,61,77,62
2948,61,72,62
2997,61,66,61
3046,61,60,60
3095,61,55,60
3144,61,49,59
3193,60,44,59
3242,59,45,58
3291,59,47,57
3340,58,42,57
3389,57,44,56
3438,57,46,55
3487,57,40,55
3536,56,34,54
3585,56,36,53
3634,56,31,53
3683,56,24,52
3732,55,18,51
3781,55,21,51
3830,55,15,50
3878,55,9,49
3926,55,3,49
3974,55,0,48
4022,54,0,47
4070,54,0,47
4118,54,0,46
4166,54,0,46
4214,53,0,45
4262,53,0,44
4310,53,0,44
4358,52,0,43
4406,52,0,42
4454,51,0,42
4502,51,0,41
4550,51,0,40
4598,50,0,40
4646,49,0,39
4694,48,0,39
4742,47,0,38
4790,46,0,37
4838,45,0,37
4886,43,0,36
4934,45,0,35
4982,40,0,35
5030,38,0,34
5078,37,1,33
5126,36,3,33
5174,35,5,32
5222,34,7,31
5271,33,10,31
5320,32,12,30
5369,32,15,30
5417,31,8,29
