ms,current,servoWrite,wanted
4,31,179,31
52,31,179,31
94,31,179,31
136,31,180,32
178,31,180,32
220,31,181,33
262,32,181,33
309,33,64,34
356,34,93,35
403,35,92,35
450,36,93,36
497,38,92,37
544,40,75,37
591,42,59,38
639,44,39,38
687,44,19,39
735,44,23,40
783,44,24,40
831,43,26,41
879,42,43,42
926,41,61,42
973,40,83,43
1021,40,108,44
1069,40,122,44
1117,40,140,45
1165,43,158,45
1213,45,135,46
1261,46,129,47
1309,47,132,47
1358,49,132,48
1407,49,118,49
1456,50,131,49
1505,51,127,50
1554,51,125,51
1602,52,135,51
1651,52,131,52
1699,53,143,53
1748,53,138,53
1796,53,151,54
1844,54,163,55
1893,54,160,55
1941,54,174,56
1990,54,180,56
2039,54,180,57
2088,55,180,58
2137,55,180,58
2186,55,180,59
2235,55,180,60
2284,55,180,60
2333,56,180,61
2382,56,180,62
2431,56,180,62
2480,57,180,63
2529,57,180,64
2578,58,180,64
2627,59,180,65
2676,60,180,66
2725,62,180,66
2774,65,180,67
2823,68,180,68
2872,71,180,68
2921,74,180,69
2970,75,180,70
3019,76,180,70
3068,77,180,71
3117,78,180,71
3166,78,180,72
3215,79,180,73
3264,79,180,73
3313,80,180,74
3362,80,180,75
3411,80,180,75
3460,80,180,76
3509,81,180,77
3558,81,180,77
3607,81,180,78
3656,81,180,79
3705,82,180,79
3754,82,180,80
3803,82,180,81
3852,82,180,81
3900,83,180,82
3949,83,180,83
3997,83,180,83
4045,83,180,84
4093,84,180,84
4142,84,180,85
4191,84,180,86
4239,85,180,86
4288,85,180,87
4336,85,180,88
4384,86,180,88
4433,87,180,89
4482,87,180,90
4531,88,180,90
4580,90,180,91
4629,91,180,92
4678,92,180,92
4727,94,180,93
4776,95,180,94
4825,97,180,94
4874,98,180,95
4923,100,180,96
4972,102,180,96
5021,103,180,97
