ms,current,servoWrite,wanted
4,86,0,86
52,86,0,85
93,86,0,85
134,86,0,84
175,85,0,84
222,85,82,83
269,84,79,82
316,84,80,82
363,84,78,81
410,83,77,81
457,83,77,80
504,83,75,79
551,82,74,79
598,82,73,78
645,82,71,77
692,82,70,77
739,81,69,76
786,81,69,76
834,81,67,75
882,81,65,74
930,80,64,74
978,80,64,73
1026,80,62,72
1074,79,61,72
1122,78,60,71
1170,78,60,70
1218,77,59,70
1266,76,59,69
1314,74,59,69
1362,72,60,68
1410,70,61,67
1458,67,63,67
1506,64,66,66
1554,62,67,65
1602,60,69,65
1650,59,70,64
1698,58,70,63
1746,58,70,63
1794,58,68,62
1842,57,68,62
1890,57,67,61
1938,57,65,60
1986,57,64,60
2034,57,62,59
2082,56,60,58
2130,56,61,58
2178,56,59,57
2226,56,57,56
2274,56,56,56
2322,56,55,55
2370,55,53,54
2418,55,54,54
2466,55,52,53
2514,55,51,53
2562,55,49,52
2610,55,47,51
2658,54,46,51
2706,54,45,50
2754,54,43,49
2802,54,42,49
2850,54,40,48
2898,53,38,47
2946,53,39,47
2994,53,37,46
3042,52,36,46
3090,52,36,45
3138,52,34,44
3186,51,33,44
3234,51,32,43
3282,50,30,42
3330,50,31,42
3378,49,29,41
3426,48,28,40
3474,47,29,40
3522,46,28,39
3570,45,28,38
3618,43,29,38
3666,42,30,37
3714,40,30,37
3762,38,31,36
3810,37,32,35
3858,36,33,35
3906,35,32,34
3954,34,32,33
4002,33,32,33
4050,33,32,32
4098,32,30,31
