ms,current,servoWrite,wanted
4,103,0,103
52,103,0,102
94,102,0,102
142,100,134,101
190,99,109,101
238,97,110,100
286,96,121,99
334,96,125,99
382,96,122,98
430,96,119,97
478,96,116,97
526,95,112,96
574,94,115,95
622,94,119,95
670,93,114,94
718,93,118,94
766,92,112,93
814,92,115,92
862,91,110,92
910,91,113,91
958,90,107,90
1006,89,110,90
1055,88,112,89
1104,88,114,88
1153,88,109,88
1202,87,104,87
1251,87,106,86
1300,86,100,86
1349,86,102,85
1397,85,95,84
1445,85,97,84
1494,85,90,83
1542,84,84,83
1590,84,85,82
1638,83,78,81
1686,83,79,81
1734,83,71,80
1782,83,63,79
1830,82,55,79
1878,82,54,78
1927,82,44,77
1976,81,35,77
2024,81,33,76
2073,81,22,75
2122,81,12,75
2170,80,1,74
2218,80,0,74
2266,80,0,73
2314,79,0,72
2362,79,0,72
2410,79,0,71
2458,78,0,70
2506,77,0,70
2602,75,0,68
2650,73,0,68
2698,71,0,67
2746,67,0,66
2794,63,0,66
2842,61,0,65
2890,59,0,65
2938,58,0,64
2986,58,0,63
3034,57,0,63
3082,57,7,62
3130,56,6,61
3179,56,14,61
3228,56,13,60
3277,55,12,59
3326,55,19,59
3375,55,17,58
3424,55,15,57
3473,55,13,57
3522,54,10,56
3571,54,14,55
3620,54,11,55
3668,54,6,54
3716,54,3,54
3764,53,0,53
3812,53,0,52
3860,53,0,52
3908,53,0,51
3956,52,0,50
4004,52,0,50
4052,52,0,49
4100,51,0,48
4148,51,0,48
4196,50,0,47
4244,50,0,47
4292,49,0,46
4340,49,0,45
4388,48,0,45
4436,47,0,44
4484,45,0,43
4532,44,0,43
4580,43,0,42
4628,41,0,41
4676,39,0,41
4724,37,0,40
4772,36,0,39
4820,35,0,39
4868,34,0,38
4916,33,0,38
4964,32,0,37
