ms,current,servoWrite,wanted
4,31,169,31
52,31,169,31
94,31,169,31
136,31,170,32
178,31,170,32
220,31,171,33
262,32,171,33
309,34,82,34
356,36,78,35
403,38,67,35
450,39,54,36
497,40,48,37
544,40,41,37
591,39,44,38
638,39,57,38
685,39,64,39
732,39,72,40
779,39,81,40
826,39,92,41
874,41,104,42
922,43,95,42
970,45,86,43
1066,47,69,44
1114,48,64,45
1162,48,57,45
1210,48,61,46
1258,48,65,47
1306,48,70,47
1354,48,77,48
1402,48,85,49
1450,48,94,49
1499,49,105,50
1548,50,106,51
1597,50,107,51
1645,51,119,52
1694,51,119,52
1742,51,131,53
1790,52,144,54
1839,52,146,54
1887,52,160,55
1935,53,175,56
1984,53,179,56
2033,53,180,57
2082,53,180,58
2131,54,180,58
2180,54,180,59
2229,54,180,60
2278,54,180,60
2327,55,180,61
2376,55,180,62
2425,55,180,62
2474,55,180,63
2523,55,180,64
2572,56,180,64
2621,56,180,65
2670,57,180,66
2719,58,180,66
2768,59,180,67
2817,61,180,67
2866,64,180,68
2915,67,180,69
2964,71,180,69
3013,73,180,70
3062,74,180,71
3111,75,180,71
3160,76,180,72
3209,77,180,73
3258,78,180,73
3307,78,180,74
3356,78,180,75
3405,79,180,75
3454,79,180,76
3503,79,180,77
3552,80,180,77
3601,80,180,78
3650,80,180,79
3699,80,180,79
3748,81,180,80
3797,81,180,81
3845,81,180,81
3893,81,180,82
3941,81,180,82
3989,82,180,83
4038,82,180,84
4087,82,180,84
4136,83,180,85
4185,83,180,86
4233,83,180,86
4281,83,180,87
4329,84,180,88
4378,84,180,88
4426,85,180,89
4475,85,180,90
4523,86,180,90
4572,87,180,91
4621,88,180,92
4670,89,180,92
4719,90,180,93
4768,92,180,93
4817,93,180,94
4866,95,180,95
4915,96,180,95
4964,98,180,96
