ms,current,servoWrite,wanted
4,32,200,32
52,32,200,32
94,33,200,32
141,35,25,33
189,37,27,33
237,37,19,34
285,37,22,35
333,37,24,35
381,37,28,36
429,37,32,37
477,37,36,37
524,38,41,38
572,38,41,39
619,39,46,39
666,41,46,40
714,42,40,40
809,42,42,42
856,42,46,42
903,43,52,43
950,43,52,44
997,43,57,44
1045,44,64,45
1093,44,64,45
1141,44,71,46
1189,44,78,47
1237,45,85,47
1285,45,88,48
1333,45,96,49
1381,45,104,49
1429,46,114,50
1477,46,118,51
1525,46,127,51
1573,46,138,52
1621,47,149,53
1669,47,154,53
1717,48,165,54
1765,48,170,54
1813,49,180,55
1861,49,180,56
1909,50,180,56
1957,51,180,57
2005,52,180,58
2053,53,180,58
2101,55,180,59
2149,57,180,60
2197,60,180,60
2245,62,180,61
2294,64,180,61
2343,66,180,62
2392,67,180,63
2441,68,180,63
2490,69,179,64
2539,70,174,65
2588,70,168,65
2637,71,170,66
2686,71,165,67
2735,72,165,67
2784,72,161,68
2833,72,162,69
2882,73,163,69
2931,73,160,70
2980,73,163,71
3029,73,165,71
3078,74,168,72
3127,74,166,73
3176,74,170,73
3225,74,174,74
3274,74,180,75
3323,75,180,75
3372,75,180,76
3421,75,180,77
3470,75,180,77
3519,75,180,78
3568,76,180,78
3617,76,180,79
3666,76,180,80
3715,77,180,80
3764,78,180,81
3813,79,180,82
3862,81,180,82
3911,84,180,83
3960,87,180,84
4009,90,180,84
4058,92,180,85
4107,94,180,86
4156,95,173,86
4205,96,165,87
4254,97,156,88
4303,97,146,88
4352,98,143,89
4401,98,134,90
4450,99,130,90
4499,99,122,91
4548,99,119,92
4597,100,116,92
4646,100,109,93
4695,100,107,94
4744,100,105,94
4793,100,105,95
4842,100,104,95
4891,100,105,96
4940,100,106,97
4989,100,108,97
5038,100,110,98
5087,100,114,99
5136,100,117,99
5185,100,122,100
5234,100,127,101
5283,100,132,101
5332,100,139,102
5381,100,147,103
5430,101,154,103
5479,101,156,104
5528,101,165,105
5577,101,173,105
5675,102,180,107
5724,102,180,107
5773,102,180,108
5822,102,180,109
5871,103,180,109
5920,103,180,110
5969,103,180,110
6018,103,180,111
6067,104,180,112
6116,104,180,112
6165,105,180,113
6214,105,180,114
6263,106,180,114
6312,106,180,115
6361,107,180,116
6410,108,180,116
6459,109,180,116
6508,110,180,116
6557,111,180,116
6606,113,180,116
6655,114,180,116
