ms,current,servoWrite,wanted
4,102,0,102
52,102,0,101
94,101,0,101
142,99,151,100
190,97,112,100
238,96,125,99
286,96,126,98
334,96,118,98
382,96,110,97
430,96,103,96
478,95,97,96
526,93,101,95
574,91,115,94
622,90,128,94
670,90,130,93
718,89,122,93
766,89,126,92
814,89,117,91
862,89,110,91
910,89,103,90
958,88,96,89
1006,88,101,89
1054,87,92,88
1102,86,96,87
1151,85,100,87
1200,85,102,86
1248,84,93,85
1296,84,98,85
1344,84,89,84
1392,83,84,84
1440,83,87,83
1488,82,79,82
1536,82,83,82
1584,82,75,81
1632,82,68,80
1680,81,61,80
1728,81,66,79
1776,81,57,78
1824,80,50,78
1872,80,54,77
1921,80,45,76
1970,80,39,76
2019,79,31,75
2067,79,36,75
2116,78,27,74
2164,78,31,73
2212,78,23,73
2261,77,16,72
2310,76,20,71
2359,75,23,71
2408,73,26,70
2457,70,40,69
2506,67,65,69
2603,61,120,67
2652,60,131,67
2701,59,132,66
2750,59,134,65
2799,59,126,65
2848,60,119,64
2897,63,100,63
2946,65,61,63
2995,67,35,62
3043,67,9,62
3091,67,4,61
3139,67,0,60
3187,67,0,60
3235,68,0,59
3283,61,0,58
3332,59,40,58
3381,58,45,57
3430,57,46,56
3479,56,49,56
3528,56,52,55
3577,56,43,54
3626,55,36,54
3675,55,40,53
3724,55,31,52
3773,55,24,52
3822,54,17,51
3871,54,21,50
3920,54,13,50
3968,54,5,49
4016,53,0,49
4064,53,3,48
4112,53,0,47
4160,53,0,47
4208,53,0,46
4256,52,0,45
4304,52,0,45
4352,52,0,44
4400,52,0,43
4448,51,0,43
4496,51,0,42
4544,50,0,42
4592,50,0,41
4640,49,0,40
4688,49,0,40
4736,48,0,39
4784,48,0,38
4832,46,0,38
4880,45,0,37
4928,44,0,36
4976,42,0,36
5024,40,0,35
5072,39,0,34
5120,37,0,34
5168,35,2,33
5217,34,16,33
5266,33,17,32
5315,32,19,31
5364,31,23,31
