ms,current,servoWrite,wanted
4,102,0,102
52,102,0,101
100,101,110,101
148,99,100,100
196,97,100,99
244,96,102,99
292,94,102,98
340,93,105,98
388,91,106,97
436,90,109,96
484,88,112,96
532,87,115,95
580,87,118,94
628,87,120,94
676,87,121,93
724,87,121,92
772,87,123,92
820,87,123,91
868,87,124,91
916,87,124,90
964,87,123,89
1012,87,123,89
1061,87,122,88
1110,87,121,87
1159,87,120,87
1208,87,119,86
1257,87,117,85
1306,87,115,85
1355,86,113,84
1404,86,111,83
1453,86,109,83
1502,85,106,82
1551,84,104,81
1600,84,104,81
1649,84,101,80
1698,83,97,79
1746,83,96,79
1794,82,93,78
1842,82,92,78
1890,81,88,77
1938,81,86,76
1986,81,83,76
2035,80,79,75
2083,80,77,74
2131,80,74,74
2179,80,70,73
2227,79,66,72
2276,79,64,72
2325,79,59,71
2374,78,54,70
2423,78,51,70
2472,78,46,69
2521,77,41,68
2570,77,38,68
2619,77,33,67
2668,76,28,67
2717,76,24,66
2766,75,18,65
2815,74,14,65
2864,73,10,64
2912,72,5,63
2960,69,2,63
3008,66,1,62
3056,61,1,61
3104,59,6,61
3152,57,6,60
3200,56,8,59
3248,55,9,59
3297,54,10,58
3346,54,11,57
3395,54,12,57
3444,53,11,56
3493,53,13,56
3542,53,12,55
3591,53,11,54
3640,52,11,54
3689,52,11,53
3737,52,9,52
3785,52,9,52
3833,52,7,51
3881,51,5,50
3929,51,5,50
3977,51,2,49
4025,51,0,48
4073,50,0,48
4121,50,0,47
4169,50,0,47
4217,50,0,46
4265,49,0,45
4313,49,0,45
4361,48,0,44
4409,48,0,43
4457,47,0,43
4505,47,0,42
4553,46,0,41
4601,45,0,41
4649,44,0,40
4697,42,0,39
4745,41,0,39
4793,39,0,38
4841,37,0,38
4889,36,0,37
4937,34,0,36
4985,32,0,36
