ms,current,servoWrite,wanted
4,92,0,92
52,92,0,91
93,92,0,91
134,91,0,90
181,91,88,90
228,90,84,89
275,89,84,88
322,89,84,88
369,88,81,87
416,88,82,87
463,87,79,86
510,87,78,85
557,87,76,85
604,86,72,84
651,86,71,83
698,86,69,83
745,86,65,82
792,85,62,82
839,85,60,81
886,85,56,80
934,84,52,80
981,84,50,79
1029,84,46,78
1077,84,42,78
1125,83,37,77
1173,83,34,76
1221,82,30,76
1269,82,27,75
1317,81,23,75
1365,80,20,74
1413,79,18,73
1461,77,16,73
1509,74,17,72
1557,70,21,71
1605,66,30,71
1653,64,39,70
1701,63,44,69
1749,62,47,69
1797,61,49,68
1845,61,52,67
1893,60,53,67
1941,60,56,66
1989,60,56,66
2037,60,56,65
2085,59,55,64
2133,59,58,64
2181,59,58,63
2229,59,56,62
2277,59,56,62
2325,58,55,61
2373,58,56,60
2421,58,55,60
2469,58,53,59
2517,58,52,59
2565,58,49,58
2613,58,47,57
2661,58,45,57
2709,57,42,56
2757,57,41,55
2805,57,39,55
2853,57,35,54
2901,56,31,53
2949,56,31,53
2997,56,27,52
3045,55,23,51
3093,55,22,51
3141,54,18,50
3189,54,17,50
3237,54,13,49
3285,53,8,48
3333,52,7,48
3381,51,5,47
3429,50,4,46
3477,48,3,46
3525,47,4,45
3573,45,3,44
3621,44,7,44
3669,42,6,43
3717,40,10,43
3765,39,14,42
3813,38,15,41
3861,37,17,41
3909,36,18,40
3957,35,19,39
4005,35,22,39
4053,34,21,38
4101,34,22,37
4149,34,22,37
4197,33,20,36
4245,33,22,35
4293,33,21,35
4341,32,19,34
4389,32,21,34
4437,32,19,33
4485,32,16,32
4533,31,15,32
4581,31,15,31
4629,31,12,30
4677,31,10,30
4725,31,7,29
4773,30,4,28
4821,30,4,28
4869,30,0,27
4917,30,0,27
4965,30,0,27
5013,30,0,27
5061,30,0,27
5109,30,0,27
5157,29,0,27
