ms,current,servoWrite,wanted
4,128,10,128
52,128,9,127
93,128,9,127
134,128,8,126
176,127,8,126
224,124,118,125
272,123,127,124
320,122,129,124
368,122,130,123
416,122,127,123
464,122,123,122
512,122,120,121
560,122,117,121
608,122,112,120
656,122,108,119
704,122,104,119
752,122,99,118
800,121,94,117
848,120,95,117
896,119,95,116
944,118,96,116
992,118,97,115
1040,118,92,114
1088,117,88,114
1136,116,88,113
1184,116,88,112
1232,116,84,112
1280,116,79,111
1328,115,74,110
1376,115,75,110
1424,115,69,109
1472,115,64,108
1520,114,59,108
1568,114,59,107
1616,114,54,107
1665,114,48,106
1714,113,43,105
1762,113,43,105
1811,112,37,104
1860,112,36,103
1909,112,31,103
1958,111,25,102
2007,111,24,101
2056,110,18,101
2105,109,17,100
2153,108,16,99
2201,106,16,99
2249,104,21,98
2297,101,25,97
2345,97,36,97
2393,95,52,96
2441,93,59,96
2489,92,65,95
2537,91,67,94
2585,90,69,94
2633,90,70,93
2681,89,67,92
2729,89,69,92
2777,89,66,91
2825,89,62,90
2873,89,59,90
2921,88,55,89
2969,88,57,89
3017,88,53,88
3065,88,48,87
3113,88,45,87
3161,88,40,86
3209,87,36,85
3257,87,37,85
3305,87,33,84
3353,87,28,83
3401,87,24,83
3449,86,19,82
3497,86,19,81
3545,86,15,81
3593,86,9,80
3641,86,5,80
3689,85,0,79
3737,85,0,78
3785,84,0,78
3833,84,0,77
3881,84,0,76
3929,83,0,76
3977,82,0,75
4025,82,0,74
4073,81,0,74
4121,80,0,73
4169,79,0,73
4217,78,0,72
4265,77,0,71
4313,75,0,71
4361,74,0,70
4409,72,0,69
4457,70,0,69
