ms,current,servoWrite,wanted
4,105,0,105
52,105,0,104
94,104,0,104
142,103,102,103
190,100,103,103
238,98,131,102
286,97,146,101
334,97,150,101
382,97,141,100
430,97,133,99
478,97,125,99
526,97,116,98
574,97,108,97
622,97,100,97
670,97,92,96
718,96,85,96
766,94,88,95
814,92,102,94
862,91,119,94
910,90,122,93
958,90,125,92
1006,90,118,92
1055,90,109,91
1104,90,100,90
1152,89,92,90
1200,89,96,89
1248,88,88,88
1296,87,91,88
1344,87,95,87
1392,87,87,87
1440,86,79,86
1488,86,82,85
1536,86,75,85
1584,85,66,84
1632,85,69,83
1681,85,62,83
1729,84,53,82
1777,84,56,81
1825,84,49,81
1874,84,40,80
1922,83,31,79
1970,83,35,79
2019,83,27,78
2068,82,19,78
2117,82,22,77
2166,82,13,76
2214,81,5,76
2262,81,9,75
2310,81,0,74
2358,80,0,74
2406,79,0,73
2454,78,0,72
2502,76,3,72
2551,74,19,71
2600,71,34,70
2649,67,62,70
2698,64,100,69
2747,62,127,68
2796,62,143,68
2845,62,134,67
2894,62,127,67
2943,62,118,66
2992,63,109,65
3041,64,89,65
3090,66,68,64
3139,66,36,63
3188,66,29,63
3237,66,20,62
3286,66,11,61
3334,66,3,61
3382,64,0,60
3431,62,10,59
3480,61,26,59
3529,60,29,58
3627,59,36,57
3676,59,28,56
3725,58,19,55
3774,58,23,55
3823,58,14,54
3871,58,5,53
3919,57,0,53
3967,57,1,52
4015,57,0,52
4063,57,0,51
4111,57,0,50
4159,56,0,50
4207,56,0,49
4255,56,0,48
4303,56,0,48
4351,55,0,47
4399,55,0,46
4447,55,0,46
4495,55,0,45
4543,54,0,45
4591,54,0,44
4640,53,0,43
4688,53,0,43
4737,53,0,42
4785,52,0,41
4833,51,0,41
4881,51,0,40
4929,50,0,39
4977,49,0,39
5025,47,0,38
5073,46,0,37
5121,44,0,37
5169,43,0,36
5217,41,0,36
5265,40,0,35
5313,38,0,34
5361,37,0,34
5409,36,0,33
5457,35,0,32
5505,34,0,32
5553,34,2,31
5601,33,0,31
