ms,current,servoWrite,wanted
4,98,0,98
52,98,0,97
93,98,0,97
134,97,0,96
181,95,85,96
229,92,100,95
277,90,129,94
325,89,147,94
373,89,152,93
421,89,145,92
469,89,138,92
517,89,131,91
565,90,124,91
613,90,103,90
661,90,95,89
709,90,88,89
757,89,78,88
805,88,81,87
853,86,85,87
901,86,100,86
949,85,91,85
996,85,95,85
1044,84,87,84
1092,84,91,84
1140,84,83,83
1188,83,74,82
1236,83,78,82
1284,82,69,81
1332,82,72,80
1380,82,63,80
1428,82,53,79
1476,81,44,78
1524,81,47,78
1572,81,37,77
1620,80,26,76
1668,80,29,76
1716,80,19,75
1764,80,9,75
1812,79,0,74
1860,79,0,73
1908,79,0,73
1956,78,0,72
2004,78,0,71
2052,77,0,71
2100,76,0,70
2148,74,0,69
2196,72,0,69
2244,68,0,68
2292,64,39,68
2340,61,79,67
2389,60,108,66
2438,59,115,66
2487,59,121,65
2536,59,114,64
2585,59,108,64
2634,59,101,63
2682,59,94,62
2730,60,88,62
2778,60,68,61
2826,61,60,60
2874,61,40,60
2922,61,31,59
2970,61,22,58
3018,60,13,58
3114,58,19,57
3162,57,22,56
3210,57,24,55
3258,56,16,55
3306,56,19,54
3354,55,9,53
3402,55,13,53
3450,55,3,52
3498,55,0,51
3546,54,0,51
3594,54,0,50
3642,54,0,50
3690,54,0,49
3738,54,0,48
3786,54,0,48
3882,53,0,46
3930,53,0,46
3978,53,0,45
4026,53,0,44
4074,52,0,44
4122,52,0,43
4170,52,0,42
4218,51,0,42
4266,51,0,41
4314,50,0,41
4362,50,0,40
4410,50,0,39
4458,49,0,39
4506,48,0,38
4554,48,0,37
4650,45,0,36
4698,44,0,35
4746,42,0,35
4794,41,0,34
4842,39,0,34
4890,38,0,33
4938,36,0,32
4986,35,0,32
5034,34,0,31
5082,33,0,30
5130,32,0,30
