ms,current,servoWrite,wanted
4,180,0,180
45,180,179,179
80,180,179,179
115,180,178,178
150,180,178,178
185,180,177,177
220,180,177,177
255,180,177,177
290,180,146,176
325,180,146,176
360,180,145,175
395,180,145,175
430,180,144,174
465,180,144,174
500,180,143,173
535,180,143,173
570,180,142,172
605,180,142,172
640,180,141,171
675,180,141,171
710,180,140,170
745,180,140,170
780,180,140,170
815,180,139,169
850,180,139,169
885,179,138,168
920,179,138,168
955,178,137,167
990,178,137,167
1025,177,136,166
1061,176,136,166
1097,175,135,165
1133,174,135,165
1169,173,134,164
1205,172,134,164
1241,170,133,163
1277,167,133,163
1313,165,132,162
1349,163,162,162
1385,163,161,161
1421,162,161,161
1457,162,161,161
1493,162,160,160
1529,162,160,160
1565,162,159,159
1601,162,159,159
1637,162,128,158
1673,162,128,158
1709,162,127,157
1745,162,127,157
1781,161,126,156
1817,160,126,156
1853,160,125,155
1889,159,125,155
1925,158,124,154
1961,158,124,154
1997,158,123,153
2033,157,123,153
2069,157,122,152
2105,157,122,152
2141,157,121,151
2177,156,121,151
2213,156,120,150
2249,156,120,150
2285,156,119,149
2321,156,119,149
2357,156,119,149
2393,156,118,148
2429,155,118,148
2465,155,117,147
2501,155,117,147
2537,155,116,146
2573,155,116,146
2609,155,115,145
2645,155,115,145
2681,154,114,144
2717,154,114,144
2753,154,113,143
2789,154,113,143
2825,154,112,142
2861,153,112,142
2897,153,111,141
2933,153,111,141
2969,152,110,140
3005,152,110,140
3041,151,109,139
3077,151,109,139
3113,150,108,138
3149,149,108,138
3185,148,107,137
3221,146,107,137
3257,145,107,137
3293,143,106,136
3329,142,106,136
3365,141,105,135
3401,140,105,135
3437,139,104,134
3473,138,104,134
3509,137,103,133
3545,136,103,133
3581,135,102,132
3617,134,132,132
3653,133,131,131
3689,133,131,131
3725,133,130,130
3761,133,130,130
3797,133,99,129
3833,133,99,129
3869,133,98,128
3905,133,98,128
3941,133,97,127
3977,132,97,127
4013,132,96,126
4049,132,96,126
4085,131,95,125
4121,131,95,125
4157,130,95,125
4193,130,94,124
4229,130,94,124
4265,130,93,123
4301,129,93,123
4337,129,92,122
4373,129,92,122
4409,129,91,121
4445,129,91,121
4481,128,90,120
4517,128,90,120
4553,128,89,119
4589,128,89,119
4625,128,88,118
4661,128,88,118
4697,127,87,117
4733,127,87,117
4769,127,86,116
4805,127,86,116
4841,127,85,115
4877,127,85,115
4913,126,84,114
4949,126,84,114
4985,126,83,113
5021,126,83,113
5057,126,83,113
