ms,current,servoWrite,wanted
4,102,0,102
52,102,0,101
94,101,0,101
136,100,0,100
178,99,0,100
220,98,0,99
262,97,1,99
304,96,1,98
346,95,1,97
388,94,2,97
430,93,2,96
473,93,126,96
515,92,2,95
558,92,125,95
600,92,2,94
642,91,1,93
684,91,2,93
726,91,1,92
768,90,1,92
810,90,1,91
852,90,1,91
894,90,0,90
936,89,0,90
978,89,0,89
1020,89,0,88
1063,89,0,88
1106,88,-1,87
1149,88,0,87
1192,88,-1,86
1235,88,-1,86
1278,88,-2,85
1321,88,-3,84
1364,88,-3,84
1407,88,-4,83
1450,88,-4,83
1493,88,-5,82
1536,89,-5,82
1579,89,-7,81
1622,89,-8,80
1665,90,-8,80
1708,90,-10,79
1751,90,-10,79
1794,91,-11,78
1837,91,-12,78
1880,92,-13,77
1923,93,-15,76
1966,93,-16,76
2009,94,239,75
2052,95,238,75
2095,96,236,74
2138,98,235,74
2181,99,232,73
2224,100,230,72
2267,101,229,72
2310,102,227,71
2353,104,226,71
2396,105,223,70
2439,106,221,70
2482,108,220,69
2525,108,217,68
2568,109,217,68
2611,110,215,67
2654,110,214,67
2697,111,213,66
2740,111,211,65
2783,111,211,65
2826,112,210,64
2869,112,209,64
2912,112,208,63
2955,112,208,63
2998,113,207,62
3041,113,205,61
3084,113,205,61
3127,113,204,60
3170,113,204,60
3213,114,203,59
3256,114,202,59
3299,114,201,58
3342,114,200,57
3385,114,200,57
3428,114,199,56
3471,114,199,56
3514,114,198,55
3557,114,198,55
3600,114,197,54
3643,115,196,53
3686,115,195,53
3729,115,194,52
3772,115,194,52
3815,115,193,51
3858,115,193,51
3901,115,192,50
3944,115,191,49
3987,116,191,49
4030,116,189,48
4073,116,189,48
4116,116,188,47
4159,116,188,47
4202,116,187,46
4245,116,186,45
4288,117,186,45
4331,117,184,44
4374,117,184,44
4417,117,183,43
4460,118,183,43
4503,118,181,42
4546,118,180,41
4589,118,180,41
4632,119,179,40
4675,119,178,40
4718,120,177,39
4761,120,176,39
4804,121,175,38
4847,122,173,37
4890,123,172,37
4933,124,170,36
4976,125,169,36
5019,126,167,35
5062,126,166,35
5105,127,165,34
5148,127,163,33
5191,128,163,33
5234,128,161,32
5277,128,161,32
5320,128,160,31
5363,128,160,31
5406,128,159,31
5449,128,159,31
5492,128,159,31
5535,128,159,31
5578,128,159,31
5621,128,159,31
5664,128,159,31
5707,128,159,31
5750,128,159,31
5793,128,159,31
5836,128,159,31
5879,128,159,31
5922,128,159,31
5965,128,159,31
6008,128,159,31
6051,128,159,31
6094,128,159,31
6137,128,159,31
6180,128,159,31
6223,128,159,31
6266,128,159,31
6309,128,159,31
6352,128,159,31
6395,128,159,31
6438,128,159,31
6481,128,159,31
6524,128,159,31
6567,128,159,31
6610,128,159,31
6653,128,159,31
6696,128,159,31
6739,128,159,31
6782,128,159,31
6825,128,159,31
6868,128,159,31
6911,128,159,31
6954,128,159,31
6997,128,159,31
7040,128,159,31
7083,128,159,31
7126,128,159,31
7169,128,159,31
7212,128,159,31
7255,128,159,31
7298,128,159,31
7341,128,159,31
7384,128,159,31
7427,128,159,31
7470,128,159,31
7513,128,159,31
7556,128,159,31
7599,128,159,31
7642,128,159,31
7685,128,159,31
7728,128,159,31
7771,128,159,31
7814,128,159,31
7857,128,159,31
7900,128,159,31
7943,128,159,31
7986,128,159,31
8029,128,159,31
8072,128,159,31
8115,128,159,31
8158,128,159,31
8201,128,159,31
8244,128,159,31
8287,128,159,31
8330,128,159,31
8373,128,159,31
8416,128,159,31
8459,128,159,31
8502,128,159,31
8545,128,159,31
8588,128,159,31
8631,128,159,31
8674,128,159,31
8717,128,159,31
8760,128,159,31
8803,128,159,31
8846,128,159,31
8889,128,159,31
8932,128,159,31
8975,128,159,31
9018,128,159,31
9061,128,159,31
9104,128,159,31
9147,128,159,31
9190,128,159,31
9233,128,159,31
9276,128,159,31
9319,128,159,31
9362,128,159,31
9405,128,159,31
9448,128,159,31
9491,128,159,31
9534,128,159,31
9577,128,159,31
9620,128,159,31
9663,128,159,31
9706,128,159,31
9749,128,159,31
9792,128,159,31
9835,128,159,31
9878,128,159,31
9921,128,159,31
9964,128,159,31
10007,128,159,31
10051,128,159,31
10095,128,159,31
10139,128,159,31
10183,128,159,31
10227,128,159,31
10271,128,159,31
10315,128,159,31
10359,128,159,31
10403,128,159,31
10447,128,159,31
10491,128,159,31
10535,128,159,31
10579,128,159,31
10623,128,159,31
10667,128,159,31
10711,128,159,31
10755,128,159,31
10799,128,159,31
10843,128,159,31
10887,128,159,31
10931,128,159,31
10975,128,159,31
11019,128,159,31
11063,128,159,31
11107,128,159,31
11151,128,159,31
11195,128,159,31
11239,128,159,31
11283,128,159,31
11327,128,159,31
11371,128,159,31
11415,128,159,31
11459,128,159,31
11503,128,159,31
11547,128,159,31
11591,128,159,31
11635,128,159,31
11679,128,159,31
11723,128,159,31
11767,128,159,31
11811,128,159,31
11855,128,159,31
11899,128,159,31
11943,128,159,31
11987,128,159,31
12031,128,159,31
12075,128,159,31
12119,128,159,31
12163,128,159,31
12207,128,159,31
12251,128,159,31
12295,128,159,31
12339,128,159,31
12383,128,159,31
12427,128,159,31
12471,128,159,31
12515,128,159,31
12559,128,159,31
12603,128,159,31
12647,128,159,31
12691,128,159,31
12735,128,159,31
12779,128,159,31
12823,128,159,31
12867,128,159,31
12911,128,159,31
12955,128,159,31
12999,128,159,31
13043,128,159,31
13087,128,159,31
13131,128,159,31
13175,128,159,31
13219,128,159,31
13263,128,159,31
13307,128,159,31
13351,128,159,31
13395,128,159,31
13439,128,159,31
13483,128,159,31
13527,128,159,31
13571,128,159,31
13615,128,159,31
